district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
2440000,93,11,39,21,30,73,0,7,0,0,0,50,18,15,12,0,0,5,16,77,6,1,77,39,496,35,494,17381,88,75180,498,519,1133,18,2920,45,55,18,23,45,14,4,4,76,0,0,2,79,21,100,11,3068,     228,3,2,1,1,0,District,30876
2460000,97,6,17,4,1,92,2,1,0,0,0,3,5,3,87,0,0,2,16,81,2,0,96,68,509,63,506,13562,93,74407,579,586,1446,20,4218,48,52,1,17,8,0,1,0,98,0,0,0,84,16,100,13,4261,      87,1,1,0,0,0,District,51574
2480000,94,10,34,15,14,67,0,2,0,0,1,3,5,55,34,0,0,2,9,84,7,0,80,46,498,43,496,14039,90,84328,501,508,4870,20,7732,49,51,23,15,45,1,1,4,93,0,0,1,79,21,99,14,8063,     195,1,1,0,0,0,District,27063
2490000,95,10,45,15,0,,,,,,,1,0,7,88,0,0,4,46,50,4,0,,63,508,52,501,21561,83,73743,,,118,18,183,53,47,0,8,18,6,0,1,90,0,0,3,86,14,90,8,183,       0,,,,,,District,
4830000,96,7,22,5,3,85,3,3,0,0,0,1,2,3,88,1,0,5,,,,,100,59,503,59,503,,77,,576,532,331,18,664,50,50,0,18,9,2,2,3,92,0,0,0,72,28,73,11,678,      31,2,2,1,0,0,Charter,
4820000,96,7,25,5,24,,,,,,,1,3,4,88,0,0,4,,,,,,65,507,50,500,,96,,,,116,15,287,59,41,0,17,7,0,0,0,96,0,0,4,82,18,87,14,292,       5,,,,,,Charter,
2500000,97,6,20,3,1,,,,,,,1,0,2,91,0,0,6,6,90,4,0,,58,506,54,503,15269,95,94209,,,202,20,507,47,54,1,18,13,3,0,0,97,0,0,0,84,16,100,13,517,       0,,,,,,District,
2510000,95,9,33,13,26,73,0,3,0,0,0,5,1,14,75,0,0,4,3,96,1,0,87,46,499,40,496,15086,87,75578,542,546,1040,18,2282,49,51,6,16,33,0,0,2,98,0,0,1,86,14,100,13,2332,      82,1,1,1,0,0,District,34155
2520000,93,13,47,15,12,74,4,0,0,0,0,1,2,2,95,0,0,0,,,,,96,55,503,46,499,18506,82,78809,572,532,530,16,910,48,52,1,20,16,0,0,0,100,0,0,0,79,21,98,10,925,      36,1,2,0,0,0,District,36006
2530000,94,11,51,14,0,,,,,,,0,0,5,88,0,0,8,63,25,13,0,,53,500,57,501,23147,90,87608,,,25,14,68,50,50,0,22,28,0,0,6,88,0,0,6,80,20,100,8,73,       0,,,,,,District,
4840000,93,12,46,24,29,,6,21,0,0,0,57,1,40,1,0,0,1,,,,,,39,494,45,497,,56,,504,516,338,25,1379,50,50,22,19,55,21,3,13,59,0,0,3,62,38,59,12,1514,     340,8,7,5,2,2,Charter,
4410000,96,8,28,9,13,79,5,13,0,0,0,29,4,41,20,0,0,6,,,,,96,36,494,23,487,,78,,519,512,537,26,1568,50,50,4,12,35,10,2,9,79,0,0,0,75,25,92,25,1612,     232,5,5,3,1,1,Charter,
2580000,93,12,45,23,29,56,0,2,0,0,0,7,3,39,46,0,0,5,5,88,7,0,82,40,495,34,491,18650,78,85470,482,479,1987,15,3854,48,52,13,23,47,1,1,7,91,0,0,0,82,18,98,11,4060,     104,1,1,0,0,0,District,29080
4850000,96,9,38,7,13,91,6,5,0,0,0,10,6,40,43,0,0,2,,,,,86,56,507,54,502,,78,,542,527,254,19,468,54,46,4,15,30,1,0,12,85,0,1,0,66,34,84,11,482,      48,6,2,2,0,0,Charter,
2610000,96,8,28,9,8,82,2,1,0,0,0,1,2,2,93,1,0,1,21,79,0,0,93,54,502,52,500,16224,91,77781,551,556,1314,18,2622,50,50,1,19,15,0,1,1,98,0,0,0,86,14,100,13,2668,      72,1,1,1,0,0,District,32129
2620000,93,11,44,19,24,78,5,3,0,0,0,5,5,19,68,1,0,3,8,90,1,0,84,43,497,46,498,15821,92,73300,531,516,1385,17,2701,49,51,7,16,28,1,0,2,97,0,0,0,81,19,100,13,2765,     165,2,2,1,1,0,District,32786
2630000,94,10,39,12,17,,,,,,,5,0,3,92,0,0,0,,,,,,43,498,17,486,13970,71,46070,,,58,8,58,50,50,0,16,47,0,0,6,94,0,0,0,93,7,100,12,59,       0,,,,,,District,
2640000,95,8,29,8,9,90,0,0,0,0,0,3,1,2,93,0,0,2,18,82,1,0,92,72,510,64,506,15287,90,86646,580,575,1428,19,3001,49,51,1,13,10,0,1,0,99,0,0,0,83,17,100,13,3022,      18,0,0,0,0,0,District,47393
2650000,96,7,23,6,1,83,2,1,0,0,0,2,3,5,86,0,0,3,12,86,2,1,94,62,505,57,502,16024,94,80472,558,551,839,18,2027,50,50,4,17,14,0,1,0,98,0,0,1,80,20,100,13,2061,      62,1,1,1,0,0,District,39740
4860000,95,9,39,10,27,,4,7,0,0,0,46,0,45,7,0,0,3,36,61,3,0,,24,488,18,483,,66,,,,222,25,653,48,52,29,15,59,7,2,14,76,1,0,0,79,21,88,20,693,      64,4,4,1,0,0,Charter,
